RPTID	YR	NAME	OPID	STADD	CITY	COUNT	ST	ZIP	HSTAD	HCITY	HCNTY	HST	HZIP	STOP	B1M_1	B1M_2	B1M_3	B1M_4	B1M_5	B1M_6	B1M_7	B1M_8	B1M_9	B1M_10	B1MT	B1S_1	B1S_2	B1S_3	B1S_4	B1S_5	B1S_6	B1S_7	B1S_8	B1S_9	B1S_10	B1ST	STM_1	STM_2	STM_3	STM_4	STM_5	STM_6	STMT	DIM_1	DIM_2	DIM_3	DIM_4	DIM_5	DIM_6	DIMT	CUM_1	CUM_2	CUM_3	CUM_4	CUM_5	CUM_6	CUMT	CIM_1	CIM_2	CIM_3	CIM_4	CIM_5	CIM_6	CIMT	PVCM_1	PVCM_2	PVCM_3	PVCM_4	PVCM_5	PVCM_6	PVCMT	PEM_1	PEM_2	PEM_3	PEM_4	PEM_5	PEM_6	PEMT	ABSM_1	ABSM_2	ABSM_3	ABSM_4	ABSM_5	ABSM_6	ABSMT	OT1M_1	OT1M_2	OT1M_3	OT1M_4	OT1M_5	OT1M_6	OT1MT	OT2M_1	OT2M_2	OT2M_3	OT2M_4	OT2M_5	OT2M_6	OT2MT	TOTM_1	TOTM_2	TOTM_3	TOTM_4	TOTM_5	TOTM_6	TOTMT	AVER	STS_1	STS_2	STS_3	STS_4	STS_5	STS_6	STST	DIS_1	DIS_2	DIS_3	DIS_4	DIS_5	DIS_6	DIST	CUS_1	CUS_2	CUS_3	CUS_4	CUS_5	CUS_6	CUST	CIS_1	CIS_2	CIS_3	CIS_4	CIS_5	CIS_6	CIST	PVCS_1	PVCS_2	PVCS_3	PVCS_4	PVCS_5	PVCS_6	PVCST	PES_1	PES_2	PES_3	PES_4	PES_5	PES_6	PEST	ABSS_1	ABSS_2	ABSS_3	ABSS_4	ABSS_5	ABSS_6	ABSST	OT1S_1	OT1S_2	OT1S_3	OT1S_4	OT1S_5	OT1S_6	OT1ST	OT2S_1	OT2S_2	OT2S_3	OT2S_4	OT2S_5	OT2S_6	OT2ST	TOTS_1	TOTS_2	TOTS_3	TOTS_4	TOTS_5	TOTS_6	TOTST	CM	CS	TM	TS	OM	OS	CDM	CDS	MDM	MDS	OTHM	OTHS	KNLK	FEDLK	UNACC	COMMENTS	PNAME	PHONE	DOE	DOC	
19980139	1998	NEW FLORENCE NATURAL GAS SYSTEM	13260	PO BOX 70 217 SOUTH MAIN	NEW FLORENCE	MONTGOMERY	MO	63363						MO	0	0	0	5	4	0	0	0	0	0	9	0	0	0	235	62	0	0	0	0	0	297	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	9	35	0	235	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	1	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	1	0	0	0	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5		CLIFFORD JEFFERSON	5738352106	6/4/1999		
19980140	1998	LAKE COUNTY UTIL DIST	11120	123 N COURT STREET	TIPTONVILLE	LAKE	TN	38079						TN	0	0	0	144	0	0	0	0	0	0	144	0	0	0	3161	0	0	0	0	0	0	3161	0	81	48	15	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	48	15	0	0	144	0	0	3112	48	1	0	0	3161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3112	48	1	0	0	3161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		JIMMY CLEMENTS	9012536203	6/4/1999		
19980141	1998	MYERS GAS CO	12936	P.O. BOX 65	KENNERDELL	VENANGO	PA	16374						PA	7	0	0	0	5	0	0	0	0	0	12	85	12	0	0	116	0	0	0	0	0	213	0	7	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	12	75	0	60	37	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	34	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	71	0	0	0	213	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0		CHARLES E. MYERS - OWNER	8143856473	6/4/1999		
19980142	1998	"BURLINGTON GAS SYSTEM , CITY OF"	1920	P.O. BOX 216 603 MAIN ST	BURLINGTON	ALFALFA	OK	73722						OK	0	0	0	5	1	0	0	0	0	0	6	0	0	0	100	14	0	0	0	0	0	114	0	3	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	6	15	0	99	1	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	1	0	0	0	114	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4		MARCI HYDE  - CITY CLERK/TREASURE	5804312550	6/4/1999		
19980143	1998	"GARRISON, CITY OF"	6101	129 GREENWOOD ST	GARRISON	NACOGDOCHES	TX	75946						TX	0	0	0	0	13	0	0	0	0	0	13	0	0	0	0	414	0	0	0	0	0	414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	2	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	2	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	407	7	0	0	0	414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	407	7	0	0	0	414	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2		MELVIS BELL - SUPT	4093472301	6/4/1999		
19980144	1998	"OBERLIN, TOWN OF"	14035	103 E. SIXTH AVENUE	OBERLIN	ALLEN	LA	70655						LA	0	0	0	17	3	1	0	0	0	0	21	0	0	0	750	115	0	0	0	0	0	865	0	17	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	1	0	0	0	21	50	0	750	0	0	0	0	750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	865	0	0	0	0	865	5	8	0	0	0	0	0	0	0	0	0	0	0	0	10		WILLIAM CHAUMONT - GAS SUPERINTENDENT	3186394333	6/4/1999		
19980145	1998	SOUTHERN PUBLIC SERVICE CO	18520	PO BOX 10	MILTON	CABELL	WV	25541						WV	58	14	0	0	109	0	0	0	0	0	181	2901	0	0	0	4098	0	0	0	0	0	6999	0	37	27	8	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	51	8	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	78	16	0	0	181	30	0	1258	1635	8	0	0	2901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2756	1336	6	0	0	4098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4014	2971	14	0	0	6999	169	118	15	49	0	0	10	26	5	30	0	0	165	0	5.68		TIMMY D CLAGG - PIPELINE SAFETY	3047433501	6/4/1999		
19980146	1998	"FARMINGTON, CITY OF"	5088	501 MCCORMICK SCHOOL RD	FARMINGTON	SAN JUAN	NM	87401						NM	0	3	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		MICHAEL R. SIMS - SR. PRODUCTION ENGINEER	5053243402	6/4/1999		
19980147	1998	"GRANVILLE, CITY OF"	6601	P.O. BOX 39 103 3RD ST SW	GRANVILLE	MCHENRY	ND	58741						ND	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	163	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	3	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	2	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	2	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		BOB BACHMEIER	7017286369	6/4/1999		
19980148	1998	WADLEY GAS SYSTEMS	22014	311 MAIN STREET	WADLEY	RANDOLPH	AL	36276						AL	0	0	0	2	7	0	0	0	0	0	9	0	0	3	0	202	0	0	0	0	0	205	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	9	0	0	0	2	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	5	1	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	7	2	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7		"DARCIE TILLIS, TOWN CLERK"	2563952261	6/4/1999		
19980149	1998	W G GAS CO	22101	P O BOX 219	RAVENCLIFF	WYOMING	WV	25913						WV	1	0	0	0	3	0	0	0	0	0	4	13	0	0	0	50	0	0	0	0	0	63	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	63	2	0	0	0	0	0	0	0	0	0	0	0	2	0	1.5		"CRYSTAL D BROWN, OFFICE MANAGER"	3042948430	6/4/1999		
19980150	1998	"MCLEAN, CITY OF"	12288	220 NORTH MAIN	MCLEAN	GRAY	TX	79057						TX	0	5	0	0	45	0	0	0	0	0	50	0	0	0	0	541	0	0	0	0	0	541	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	10	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	15	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534	7	0	0	0	541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534	7	0	0	0	541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		FRED SMITH - SUPERINTENDANT	8067792482	6/4/1999		
19980151	1998	BLAINE CITIZENS GAS CO	1516	HC 81 BOX 530	BLAINE	LAWRENCE	KY	41124						KY	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	79	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	79	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0.95		PAULINE WHEELER	6066524112	6/4/1999		
19980152	1998	"HARDESTY MUNICIPAL SYSTEM, TOWN OF"	7065	109 SOUTH BROADWAY ST. P O BOX 126	HARDESTY	TEXAS	OK	73944						OK	0	0	0	0	5	0	0	0	0	0	5	0	0	0	0	119	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	5	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	5	0	0	0	3	0	2	1	0	0	0	0	0	0	0	4		DIXIE SCHROEDER  TOWN CLERK	5808884568	6/4/1999	8/30/1999	
19980153	1998	KINGS MOUNTAIN NATURAL GAS SYSTEM	10270	"P.O. BOX 429, 1013 PIEDMONT AVE"	KINGS MOUNTAIN	CLEVELAND	NC	28086						NC	0	0	0	60	45	0	0	0	0	0	105	0	0	0	1839	1817	0	0	0	0	0	3656	0	41	10	10	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	14	1	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	24	11	0	0	104	100	0	1808	26	4	1	0	1839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1764	53	0	0	0	1817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3572	79	4	1	0	3656	3	2	5	19	0	0	0	0	0	0	0	117	8	0	0		JOHN CLEMMER DIR. GAS UTILITIES	7047344521	6/4/1999		
19980154	1998	"CENTREVILLE MUNICIPAL GAS, TOWN OF"	2232	P.O. BOX 578	CENTREVILLE	WILKINSON	MS	39631						MS	0	0	0	11	20	0	0	0	0	0	31	0	0	0	54	401	0	0	0	0	0	455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	4	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	4	0	0	0	21	0	0	52	2	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	401	0	0	0	0	401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453	2	0	0	0	455	0	8	0	0	0	0	0	0	0	0	0	0	3	0	10		DAVID OWENS JR  - MAYOR	6016455218	6/4/1999	6/5/2000	
19980155	1998	AFTON PUBLIC WORKS AUTHORITY (APWA)	30507	"P.O. BOX 250, 123 S. MAIN"	AFTON	OTTAWA	OK	74331						OK	0	0	0	23	1	0	0	0	0	0	24	0	0	0	497	13	0	0	0	0	0	510	0	15	8	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	8	0	0	0	24	0	0	496	0	0	0	0	496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	504	6	0	0	0	510	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0.01		BILLY M. HARRISON - CHAIRMAN	9182574304	6/4/1999		
19980156	1998	"LINDEN NATURAL GAS SYSTEM, TOWN OF"	11520	216 EAST MAIN ST   BOX 46	LINDEN	PERRY	TN	37096						TN	0	0	0	31	71	0	0	0	0	0	102	0	0	0	356	574	0	0	0	0	0	930	0	13	18	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	23	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	41	0	0	0	102	0	0	354	2	0	0	0	356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	564	10	0	0	0	574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	918	12	0	0	0	930	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1		GAIL MOORE - CITY RECORDER	9315892736	6/4/1999		
19980157	1998	VELMA PUBLIC WORKS AUTH	21170	MAIN & HARGROVE	VELMA	STEPHENS	OK	73091						OK	0	0	0	0	39	0	0	0	0	0	39	0	0	0	0	500	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	39	0	0	0	0	0	0	0	0	39	0	0	0	0	39	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0	0	0	0	500	0	0	0	0	0	0	0	0	500	0	0	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4		MARY SUE CROCKETT	5804443392	6/4/1999		
19980158	1998	ROCK RAPIDS MUNC UTIL	17583	310 S. THIRD AVE	ROCK RAPIDS	LYON	IA	51246						IA	0	0	0	19	8	0	0	0	0	0	27	0	0	0	832	333	0	0	0	0	0	1165	0	11	7	1	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	10	1	0	0	27	85	0	805	25	2	0	0	832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	328	5	0	0	0	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1133	30	2	0	0	1165	0	0	0	0	0	0	0	0	0	0	0	15	41	0	2.8		THOMAS L. TILLE	7124722511	6/4/1999		
19980159	1998	SAVANNAH PUBLIC UTILITY DEPT	18124	1020 MAIN STREET	SAVANNAH	HARDIN	TN	38372						TN	0	0	0	111	117	0	0	0	0	0	228	0	0	0	1724	3560	0	0	0	0	0	5284	0	84	21	5	1	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	41	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	62	5	1	0	228	169	0	1712	12	0	0	0	1724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3544	16	0	0	0	3560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5256	28	0	0	0	5284	1	3	4	17	1	5	0	5	0	19	2	17	0	0	5.9		VIRGIL W. MORRIS - DIRECTOR	9019254216	6/4/1999		
19980160	1998	"BERRY, TOWN OF, GAS BOARD OF"	1365	P.O. BOX 119  17720 HWY 18 EAST	BERRY	FAYETTE	AL	35546						AL	0	0	0	21	7	0	0	0	0	0	28	0	0	0	151	180	0	0	0	0	0	331	0	21	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	28	0	0	150	1	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330	1	0	0	0	331	0	0	0	6	0	0	0	0	0	13	0	0	0	0	3.78		SHARON K WILLCUT	2056894686	6/4/1999		
19980161	1998	KROTZ SPRINGS GAS SYSTEM	10340	P.O. BOX 218 - 224 MAIN STREET	KROTZ SPRINGS	ST. LANDRY	LA	70750						LA	0	2	0	0	9	0	0	0	0	0	11	0	1	0	0	518	0	0	0	0	0	519	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	0	0	0	11	64	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	518	0	0	0	0	518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	518	1	0	0	0	519	0	0	0	7	0	0	0	0	0	0	0	0	7	0	0		FLOYD MASON  maintanence supervisor	3185662322	6/4/1999		
19980162	1998	VANALCO INC	30057	5701 NW LOWER RIVER ROAD	VANCOUVER	CLARK	WA	98660						WA	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		M E SILVA  MGR OF ALUMINUM MANUFACTURING	3606968617	6/4/1999		
19980163	1998	"ROUND LAKE, CITY OF"	30566	98 MAIN ST PO BOX 72	ROUND LAKE	NOBLES	MN	56167						MN	0	0	0	0	9	0	0	0	0	0	9	0	0	0	2	242	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	9	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	9	0	0	0	11	98	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	2	0	0	0	244	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		DAN MANITZ  GAS SUPERVISOR	5079458127	6/4/1999		
19980164	1998	BROOKSIDE GAS SYSTEM	1808	107 MARKET ST	BROOKSIDE	JEFFERSON	AL	35036						AL	0	0	0	18	2	0	0	0	0	0	20	0	0	425	0	115	0	0	0	0	0	540	0	4	14	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	14	0	0	0	20	40	0	425	0	0	0	0	425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	540	0	0	0	0	540	0	0	0	0	0	0	0	0	0	0	0	11	11	0	2		DEBBIE KEEDY	2056749275	6/4/1999		
19980165	1998	"BLOUNTSTOWN, CITY OF"	1544	125 W. CENTRAL AVE	BLOUNTSTOWN	CALHOUN	FL	32424						FL	0	0	0	38	3	0	0	0	0	0	41	0	0	0	835	229	0	0	0	0	0	1064	0	28	7	3	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	7	3	0	0	41	0	0	835	1	1	0	0	837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	6	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1056	7	1	0	0	1064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-14.5		CONNIE DANIELS	8506745488	6/4/1999		
19980166	1998	ORLANDO PUBLIC WORKS AUTH	14355	P O BOX 27	ORLANDO	LOGAN	OK	73073						OK	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0	90	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	3	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	3	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3		KYLA GOLAY	5804552403	6/4/1999		
